wave,line
6138.239,1.26E-01
6138.265,1.26E-01
6138.466,3.36E-01
6138.502,3.36E-01
6139.309,6.48E-02
6139.357,6.48E-02
6140.558,3.46E-02
6140.562,3.46E-02
6140.666,1.55E-01
6140.702,1.55E-01
6140.892,1.95E-02
6140.944,1.95E-02
6141.146,6.51E-01
6141.184,6.51E-01
6145.068,2.73E-01
6145.081,2.73E-01
6145.347,4.52E-03
6145.392,4.52E-03
6145.467,7.47E-03
6145.493,7.47E-03
6146.163,8.15E-01
6146.192,8.15E-01
6152.619,2.77E-01
6152.637,2.77E-01
6152.639,7.59E-04
6152.669,7.59E-04
6153.035,1.27E-03
6153.1,1.27E-03
6162.759,1.07E-04
6162.765,1.07E-04
6163.317,1.72E-04
6163.428,1.72E-04
6171.228,2.29E-01
6171.242,2.29E-01
6172.342,2.06E+00
6172.35,2.06E+00
6175.691,1.09E-05
6175.718,1.09E-05
6175.891,5.93E-02
6175.913,5.93E-02
6176.359,1.69E-05
6176.525,1.69E-05
6177.982,7.47E-01
6178.009,7.47E-01
6183.553,3.21E-02
6183.57,3.21E-02
6186.091,2.61E-01
6186.147,2.61E-01
6191.474,9.50E-07
6191.54,9.50E-07
6192.212,1.28E-06
6192.44,1.28E-06
6194.109,9.09E-03
6194.111,9.09E-03
6194.624,4.44E-01
6194.677,4.44E-01
6196.773,6.30E-02
6196.869,6.30E-02
6204.404,1.53E+00
6204.468,1.53E+00
6207.472,3.81E-03
6207.494,3.81E-03
6210.11,1.57E-02
6210.149,5.78E-08
6210.253,1.57E-02
6210.263,5.78E-08
6210.927,8.56E-08
6211.226,8.56E-08
6214.764,5.54E-01
6214.79,5.54E-01
6223.431,1.56E+00
6223.553,1.56E+00
6223.625,1.22E-03
6223.681,1.22E-03
6226.159,2.31E-03
6226.357,2.31E-03
6231.766,2.61E-09
6231.933,2.61E-09
6232.564,3.80E-09
6232.938,3.80E-09
6237.731,4.33E-01
6237.748,4.33E-01
6242.577,0.00E+00
6242.672,0.00E+00
6244.972,5.33E-04
6245.234,5.33E-04
6245.273,1.09E+00
6245.465,1.09E+00
6256.381,8.08E-11
6256.608,8.08E-11
6257.186,1.16E-10
6257.642,1.16E-10
6263.453,2.36E-01
6263.524,2.36E-01
6264.351,0.00E+00
6264.494,0.00E+00
6266.599,9.80E-05
6266.932,9.80E-05
6270.003,5.25E-01
6270.273,5.25E-01
6284.062,2.27E-12
6284.354,2.27E-12
6284.865,3.21E-12
6285.407,3.21E-12
6288.986,0.00E+00
6289.186,0.00E+00
6291.091,1.44E-05
6291.502,1.44E-05
6291.967,9.92E-02
6292.101,9.92E-02
6297.67,1.97E-01
6298.025,1.97E-01
6314.884,3.92E-14
6315.244,3.92E-14
6316.536,0.00E+00
6316.798,0.00E+00
6318.504,0.00E+00
6319.003,0.00E+00
6323.32,3.05E-02
6323.523,3.05E-02
6328.315,5.53E-02
6328.763,5.53E-02
6347.059,0.00E+00
6347.392,0.00E+00
6348.903,0.00E+00
6349.496,0.00E+00
6357.577,7.23E-03
6357.856,7.23E-03
6361.986,1.23E-02
6362.533,1.23E-02
6380.626,0.00E+00
6381.037,0.00E+00
6382.356,0.00E+00
6383.051,0.00E+00
6394.811,1.34E-03
6395.173,1.34E-03
6398.737,2.16E-03
6399.39,2.16E-03
6417.317,0.00E+00
6417.812,0.00E+00
6418.943,0.00E+00
6419.746,0.00E+00
6435.106,1.96E-04
6435.559,1.96E-04
6438.629,3.16E-04
6439.398,3.16E-04
6457.217,0.00E+00
6457.802,0.00E+00
6458.751,0.00E+00
6459.668,0.00E+00
6465.292,2.31E-01
6465.324,2.31E-01
6465.579,8.55E-02
6465.596,8.55E-02
6466.657,4.37E-02
6466.708,4.37E-02
6467.615,1.05E-01
6467.653,1.05E-01
6467.722,4.29E-01
6467.758,4.29E-01
6468.676,2.67E-02
6468.685,2.67E-02
6468.947,1.40E-02
6469,1.40E-02
6471.926,1.78E-01
6471.94,1.78E-01
6472.748,5.20E-01
6472.776,5.20E-01
6474.417,3.47E-03
6474.462,3.47E-03
6474.644,5.76E-03
6474.689,5.76E-03
6478.552,2.17E-05
6479.103,2.17E-05
6479.692,1.88E-01
6479.709,1.88E-01
6481.737,3.38E-05
6482.629,3.38E-05
6483.034,6.79E-04
6483.061,6.79E-04
6483.566,1.06E-03
6483.658,1.06E-03
6494.794,9.67E-05
6494.795,9.67E-05
6495.502,1.57E-04
6495.651,1.57E-04
6499.313,1.51E-01
6499.33,1.51E-01
6500.426,0.00E+00
6500.521,1.43E+00
6500.529,1.43E+00
6501.106,0.00E+00
6501.876,0.00E+00
6502.912,0.00E+00
6504.443,5.01E-02
6504.468,5.01E-02
6506.778,5.20E-01
6506.807,5.20E-01
6509.679,1.19E-05
6509.718,1.19E-05
6510.513,1.86E-05
6510.729,1.86E-05
6512.883,2.09E-02
6512.904,2.09E-02
6515.76,1.72E-01
6515.822,1.72E-01
6524.198,3.21E-01
6524.257,3.21E-01
6524.529,6.18E-03
6524.534,6.18E-03
6525.244,1.90E-06
6525.9,1.90E-06
6527.583,5.78E-02
6527.689,5.78E-02
6527.753,1.17E-06
6527.837,1.17E-06
6528.143,2.88E-06
6528.66,1.58E-06
6528.952,1.58E-06
6529.167,2.88E-06
6534.815,1.10E+00
6534.881,1.10E+00
6539.293,2.73E-03
6539.314,2.73E-03
6542.339,1.71E-02
6542.499,1.71E-02
6545.814,4.26E-01
6545.846,4.26E-01
6547.052,0.00E+00
6547.83,0.00E+00
6549.065,8.07E-08
6549.203,8.07E-08
6550.01,1.20E-07
6550.388,1.20E-07
6555.363,1.21E+00
6555.491,1.21E+00
6557.154,9.31E-04
6557.212,9.31E-04
6560.098,3.56E-03
6560.321,3.56E-03
6570.587,3.56E-01
6570.6,3.56E-01
6573.678,5.03E-09
6573.878,5.03E-09
6574.639,7.35E-09
6575.11,7.35E-09
6575.287,1.32E-07
6576.055,1.32E-07
6577.943,1.96E-07
6578.125,0.00E+00
6578.228,0.00E+00
6579,8.87E-01
6579.106,1.96E-07
6579.203,8.87E-01
6580.923,4.43E-04
6581.218,4.43E-04
6598.43,2.10E-01
6598.501,2.10E-01
6601.668,2.50E-10
6601.938,2.50E-10
6602.239,0.00E+00
6602.396,0.00E+00
6602.628,3.60E-10
6603.202,3.60E-10
6604.875,8.86E-05
6605.252,8.86E-05
6605.814,4.62E-01
6606.103,4.62E-01
6628.793,7.32E-09
6629.386,9.57E-02
6629.524,9.57E-02
6629.545,0.00E+00
6629.682,7.32E-09
6629.763,0.00E+00
6631.241,1.06E-08
6632.019,1.43E-05
6632.487,1.43E-05
6632.552,1.06E-08
6633.124,9.88E-12
6633.468,9.88E-12
6634.072,1.40E-11
6634.754,1.40E-11
6635.87,1.88E-01
6636.253,1.88E-01
6660.107,0.00E+00
6660.395,0.00E+00
6662.425,1.86E-06
6662.995,1.86E-06
6663.504,3.26E-02
6663.717,3.26E-02
6668.144,3.04E-13
6668.567,3.04E-13
6669.225,6.05E-02
6669.71,6.05E-02
6685.887,3.23E-10
6686.903,3.23E-10
6688.156,4.63E-10
6689.621,4.63E-10
6694,0.00E+00
6694.367,0.00E+00
6696.173,0.00E+00
6696.854,0.00E+00
6700.857,8.68E-03
6701.153,8.68E-03
6705.937,1.55E-02
6706.534,1.55E-02
6731.313,0.00E+00
6731.767,0.00E+00
6733.352,0.00E+00
6734.152,0.00E+00
6741.534,1.88E-03
6741.92,1.88E-03
6746.077,3.10E-03
6746.704,1.13E-11
6746.794,3.10E-03
6747.852,1.13E-11
6748.818,1.60E-11
6750.441,1.60E-11
6772.145,0.00E+00
6772.693,0.00E+00
6774.06,0.00E+00
6774.99,0.00E+00
6785.63,3.16E-04
6786.116,3.16E-04
6789.723,5.14E-04
6790.57,5.14E-04
6811.39,3.14E-13
6812.673,3.14E-13
6816.607,0.00E+00
6817.257,0.00E+00
6818.408,0.00E+00
6819.476,0.00E+00
6829.33,5.81E-01
6829.356,5.81E-01
6830.351,2.42E-01
6830.357,2.42E-01
6831.359,1.03E+00
6831.392,1.03E+00
6831.42,1.21E-01
6831.478,1.21E-01
6831.785,2.63E-01
6831.829,2.63E-01
6833.254,4.28E-05
6833.847,4.28E-05
6834.507,7.92E-02
6834.533,7.92E-02
6834.688,4.24E-02
6834.746,4.24E-02
6835.885,4.20E-01
6835.903,4.20E-01
6836.306,1.19E+00
6836.333,1.19E+00
6836.965,6.71E-05
6837.954,6.71E-05
6841.522,1.15E-02
6841.569,1.15E-02
6841.899,2.05E-02
6841.97,2.05E-02
6843.825,4.22E-01
6843.84,4.22E-01
6851.895,2.56E-03
6851.918,2.56E-03
6852.613,4.30E-03
6852.741,4.30E-03
6864.564,3.29E-01
6864.583,3.29E-01
6864.824,0.00E+00
6865.582,0.00E+00
6865.801,4.47E-04
6865.811,4.47E-04
6865.844,3.07E+00
6865.853,3.07E+00
6866.521,0.00E+00
6866.725,7.33E-04
6866.921,7.33E-04
6867.734,0.00E+00
6870.272,1.06E-01
6870.302,1.06E-01
6872.874,1.16E+00
6872.906,1.16E+00
6879.68,4.20E-02
6879.707,4.20E-02
6882.949,4.26E-01
6883.018,4.26E-01
6883.245,6.46E-05
6883.3,6.46E-05
6884.31,1.02E-04
6884.522,4.67E-06
6884.587,1.02E-04
6885.232,4.67E-06
6887.908,7.13E-06
6889.048,7.13E-06
6891.156,6.80E-01
6891.221,6.80E-01
6892.683,1.72E-02
6892.694,1.72E-02
6896.201,1.33E-01
6896.319,1.33E-01
6902.703,2.31E+00
6902.771,2.31E+00
6904.303,7.62E-06
6904.412,7.62E-06
6905.45,1.15E-05
6905.818,1.15E-05
6909.195,6.03E-03
6909.213,6.03E-03
6912.733,3.82E-02
6912.913,3.82E-02
6914.51,9.17E-01
6914.549,9.17E-01
6916.936,0.00E+00
6917.805,0.00E+00
6925.062,2.66E+00
6925.197,2.66E+00
6929.042,7.21E-07
6929.187,1.46E-03
6929.217,7.21E-07
6929.246,1.46E-03
6930.232,1.08E-06
6930.703,1.08E-06
6932.634,8.48E-03
6932.887,8.48E-03
6939.564,4.27E-07
6940.398,4.27E-07
6941.432,7.90E-01
6941.439,7.90E-01
6942.67,6.19E-07
6943.972,6.19E-07
6950.853,1.99E+00
6951.069,1.99E+00
6952.686,4.20E-04
6952.795,4.20E-04
6955.982,1.90E-03
6956.318,1.90E-03
6957.551,5.75E-08
6957.8,5.75E-08
6958.756,8.26E-08
6959.341,8.26E-08
6971.818,4.91E-01
6971.886,4.91E-01
6979.732,9.64E-05
6979.902,9.64E-05
6980.183,1.10E+00
6980.494,1.10E+00
6982.854,3.30E-04
6983.285,3.30E-04
6989.931,3.71E-09
6990.261,3.71E-09
6991.134,5.36E-09
6991.842,5.36E-09
6998.519,3.10E-08
6999.486,3.10E-08
7001.383,4.41E-08
7002.857,4.41E-08
7005.72,2.35E-01
7005.859,2.35E-01
7010.391,8.94E-06
7010.63,8.94E-06
7013.136,4.80E-01
7013.334,4.40E-05
7013.552,4.80E-01
7013.871,4.40E-05
7026.3,2.04E-10
7026.72,2.04E-10
7027.489,2.91E-10
7028.329,2.91E-10
7043.193,8.77E-02
7043.415,8.77E-02
7044.743,1.35E-06
7045.063,1.35E-06
7047.513,4.26E-06
7048.168,4.26E-06
7049.789,1.65E-01
7050.32,1.65E-01
7061.541,1.85E-09
7062.649,1.85E-09
7064.194,2.66E-09
7065.85,2.66E-09
7066.795,9.40E-12
7067.31,9.40E-12
7082.887,1.66E-07
7083.298,1.66E-07
7084.322,2.58E-02
7084.635,2.58E-02
7085.494,5.10E-07
7086.278,5.10E-07
7090.22,4.59E-02
7090.877,4.59E-02
7124.937,1.68E-08
7125.448,1.68E-08
7127.392,5.03E-08
7128.317,5.03E-08
7128.8,9.13E-11
7129.213,6.08E-03
7129.626,6.08E-03
7130.056,9.13E-11
7131.269,1.30E-10
7133.114,1.30E-10
7134.519,1.03E-02
7135.312,1.03E-02
7171.022,1.40E-09
7171.642,1.40E-09
7173.336,4.13E-09
7174.414,4.13E-09
7177.982,1.16E-03
7178.506,1.16E-03
7182.788,1.89E-03
7183.729,1.89E-03
7200.484,3.74E-12
7201.893,3.74E-12
7221.289,9.76E-11
7222.026,9.76E-11
7223.473,1.41E-10
7224.714,1.41E-10
7230.765,1.80E-04
7231.409,1.80E-04
7235.143,2.83E-04
7236.246,2.83E-04
7240.766,1.43E+00
7240.782,1.43E+00
7242.161,2.41E+00
7242.189,2.41E+00
7242.838,6.41E-01
7242.849,6.41E-01
7243.374,6.39E-01
7243.429,6.39E-01
7243.896,3.14E-01
7243.964,3.14E-01
7246.891,2.66E+00
7246.916,2.66E+00
7247.079,9.64E-01
7247.107,9.64E-01
7248.485,2.26E-01
7248.539,2.26E-01
7248.545,1.19E-01
7248.612,1.19E-01
7255.121,9.39E-01
7255.13,9.39E-01
7257.26,3.58E-02
7257.312,3.58E-02
7257.834,6.38E-02
7257.945,6.38E-02
7270.023,8.62E-03
7270.046,8.62E-03
7270.986,1.47E-02
7271.167,1.47E-02
7275.901,5.67E-12
7276.765,5.67E-12
7277.1,6.95E-01
7277.125,6.95E-01
7277.967,8.09E-12
7278.405,6.54E+00
7278.415,6.54E+00
7279.38,8.09E-12
7283.549,2.21E-01
7283.588,2.21E-01
7286.428,2.56E+00
7286.464,2.56E+00
7286.833,1.69E-03
7286.853,1.69E-03
7287.706,2.29E-05
7288.038,2.68E-03
7288.305,2.68E-03
7288.481,2.29E-05
7291.718,3.49E-05
7292.995,3.49E-05
7294.195,9.59E-02
7294.234,9.59E-02
7297.911,9.66E-01
7297.988,9.66E-01
7305.691,1.43E+00
7305.766,1.43E+00
7307.724,2.61E-04
7307.798,2.61E-04
7308.936,3.70E-02
7308.958,3.70E-02
7309.091,4.12E-04
7309.457,4.12E-04
7313,3.25E-01
7313.136,3.25E-01
7318.262,4.83E+00
7318.334,4.83E+00
7327.694,1.37E-02
7327.704,1.37E-02
7331.142,1.94E+00
7331.192,1.94E+00
7331.822,9.43E-02
7332.03,9.43E-02
7332.793,3.44E-05
7332.936,3.44E-05
7334.255,5.30E-05
7334.736,5.30E-05
7335.045,2.77E-13
7336.04,2.77E-13
7342.835,5.66E+00
7342.979,5.66E+00
7348.968,2.37E-06
7349.885,2.37E-06
