Wavelength,Disk,Spheroid,AGN,ObscuredAGN,Total
1e-08,2.78511809075604e-08,4.69145516682671e-07,0,0,4.96996697590231e-07
1.0009214583193e-08,2.80901531116085e-08,4.72229530888318e-07,0,0,5.00319683999927e-07
1.00184376572403e-08,2.83293455185832e-08,4.75316386884524e-07,0,0,5.03645732403107e-07
1.00276692299659e-08,2.85687583313915e-08,4.7840608728987e-07,0,0,5.06974845621261e-07
1.0036909309201e-08,2.88083917531276e-08,4.8149863472536e-07,0,0,5.10307026478487e-07
1.00461579027839e-08,2.90482459870758e-08,4.84594031814436e-07,0,0,5.13642277801512e-07
1.00554150185604e-08,2.92883212367008e-08,4.87692281182877e-07,0,0,5.16980602419578e-07
1.00646806643832e-08,2.95286177056629e-08,4.90793385458989e-07,0,0,5.20322003164652e-07
1.00739548481125e-08,2.97691355978035e-08,4.93897347273411e-07,0,0,5.23666482871215e-07
1.00832375776155e-08,3.00098751171582e-08,4.97004169259291e-07,0,0,5.27014044376449e-07
1.00925288607668e-08,3.02508364679464e-08,5.00113854052141e-07,0,0,5.30364690520088e-07
1.01018287054483e-08,3.04920198545759e-08,5.03226404289916e-07,0,0,5.33718424144492e-07
1.01111371195491e-08,3.07334254816411e-08,5.06341822612968e-07,0,0,5.37075248094609e-07
1.01204541109654e-08,3.09750535539326e-08,5.09460111664189e-07,0,0,5.40435165218122e-07
1.0129779687601e-08,3.12169042764202e-08,5.12581274088785e-07,0,0,5.43798178365206e-07
1.01391138573668e-08,3.14589778542674e-08,5.15705312534454e-07,0,0,5.47164290388721e-07
1.0148456628181e-08,3.17012744928264e-08,5.18832229651333e-07,0,0,5.5053350414416e-07
1.0157808007969e-08,3.19437943976411e-08,5.21962028092031e-07,0,0,5.53905822489672e-07
1.01671680046638e-08,7.14233635356008e-08,1.3095190270972e-06,0,0,1.3809423906328e-06
1.01765366262053e-08,7.2005888213296e-08,1.31778560984439e-06,0,0,1.38979149805769e-06
1.01859138805412e-08,7.25889496631989e-08,1.32605980990299e-06,0,0,1.39864875956619e-06
1.0195299775626e-08,7.31725483799279e-08,1.3343416342921e-06,0,0,1.40751418267203e-06
1.0204694319422e-08,7.37082820029815e-08,1.34180718374456e-06,0,0,1.41551546574754e-06
1.02140975198985e-08,7.41960008837333e-08,1.34845390956067e-06,0,0,1.42264991044441e-06
1.02235093850323e-08,7.46841691771063e-08,1.3551067600576e-06,0,0,1.4297909292347e-06
1.02329299228075e-08,7.51727872972125e-08,1.36176574087893e-06,0,0,1.43693852817614e-06
1.02423591412157e-08,7.56618556585505e-08,1.36843085767355e-06,0,0,1.4440927133321e-06
1.02517970482556e-08,7.61513746760007e-08,1.3751021160955e-06,0,0,1.4512534907715e-06
1.02612436519334e-08,7.66413447648222e-08,1.38177952180404e-06,0,0,1.45842086656886e-06
1.02706989602628e-08,7.71317663406551e-08,1.38846308046356e-06,0,0,1.46559484680422e-06
1.02801629812647e-08,7.76226398195323e-08,1.39515279774387e-06,0,0,1.47277543756341e-06
1.02896357229675e-08,7.81139656178608e-08,1.40184867931983e-06,0,0,1.47996264493769e-06
1.0299117193407e-08,7.86057441524302e-08,1.40855073087152e-06,0,0,1.48715647502395e-06
1.03086074006263e-08,7.90979758404215e-08,1.41525895808436e-06,0,0,1.49435693392479e-06
1.03181063526759e-08,7.95906610994007e-08,1.42197336664904e-06,0,0,1.50156402774844e-06
1.0327614057614e-08,8.00838003473061e-08,1.42869396226129e-06,0,0,1.5087777626086e-06
1.03371305235058e-08,8.05773940024797e-08,1.43542075062235e-06,0,0,1.51599814462483e-06
1.03466557584244e-08,1.15807796294932e-07,2.26907209367425e-06,0,0,2.38487988996918e-06
1.03561897704499e-08,1.16609392327852e-07,2.28124226780028e-06,0,0,2.39785166012814e-06
1.03657325676701e-08,1.17353408338627e-07,2.29224137803084e-06,0,0,2.40959478636946e-06
1.03752841581801e-08,1.18030440952552e-07,2.30187878886255e-06,0,0,2.4199092298151e-06
1.03848445500827e-08,1.18698854159963e-07,2.31133769401138e-06,0,0,2.43003654817134e-06
1.0394413751488e-08,1.19367883282285e-07,2.32080531514706e-06,0,0,2.44017319842935e-06
1.04039917705135e-08,1.20075611256495e-07,2.33082896867699e-06,0,0,2.45090457993349e-06
1.04135786152843e-08,1.20837334521326e-07,2.3416284902993e-06,0,0,2.46246582482062e-06
1.0423174293933e-08,1.21599759682396e-07,2.35243796323064e-06,0,0,2.47403772291303e-06
1.04327788145997e-08,1.22362887386472e-07,2.36325739664073e-06,0,0,2.4856202840272e-06
1.04423921854317e-08,1.23126718280924e-07,2.37408679970781e-06,0,0,2.49721351798873e-06
1.04520144145844e-08,1.23891253013703e-07,2.38492618161836e-06,0,0,2.50881743463206e-06
